high,last,created_at,book,volume,vwap,low,ask,bid,change_24
178565.38,167761.49,2020-02-27T01:51:00+00:00,btc_mxn,358.7939,171361.83299,165000.01,167761.49,167643.05,-10384.67
178565.38,167643.05,2020-02-27T01:52:00+00:00,btc_mxn,357.62323,171341.03777,165000.01,167755.91,167643.05,-10117.13
178565.38,167639.96,2020-02-27T01:53:00+00:00,btc_mxn,357.71302,171339.77428,165000.01,167755.91,167639.96,-10120.22
178565.38,168423.43,2020-02-27T01:54:00+00:00,btc_mxn,359.22871,171329.55295,165000.01,168520.37,168423.43,-9360.42
178565.38,168831.25,2020-02-27T01:55:01+00:00,btc_mxn,359.35889,171328.62349,165000.01,168946.43,168831.25,-8952.6
178565.38,168764.01,2020-02-27T01:56:01+00:00,btc_mxn,359.54008,171327.31165,165000.01,168896.94,168764.01,-8955.99
178565.38,168764.01,2020-02-27T01:57:01+00:00,btc_mxn,359.75988,171325.08422,165000.01,168896.92,168770,-8955.99
178565.38,168896.91,2020-02-27T01:58:01+00:00,btc_mxn,359.82773,171324.48738,165000.01,168896.87,168764.01,-8886.94
178565.38,168765.00,2020-02-27T01:59:02+00:00,btc_mxn,359.9414,171323.60525,165000.01,168896.87,168765,-8957
178565.38,168101.24,2020-02-27T02:00:02+00:00,btc_mxn,359.50242,171307.90878,165000.01,168199.29,168101.24,-8898.76
178560.31,168199.29,2020-02-27T02:01:02+00:00,btc_mxn,358.8457,171295.06601,165000.01,168199.29,168101.41,-10000.62
178560.31,168199.29,2020-02-27T02:02:03+00:00,btc_mxn,358.80395,171294.26269,165000.01,168199.29,168101.66,-10000.62
178560.31,168199.29,2020-02-27T02:03:03+00:00,btc_mxn,358.79771,171294.14265,165000.01,168199.29,168101.24,-9908.41
178560.31,167630.31,2020-02-27T02:04:02+00:00,btc_mxn,358.51673,171287.69353,165000.01,167630.31,167544.44,-9598
178560.31,167962.76,2020-02-27T02:05:03+00:00,btc_mxn,358.46845,171286.50581,165000.01,167962.76,167837.73,-9083.94
178560.31,167962.76,2020-02-27T02:06:04+00:00,btc_mxn,358.38835,171284.01884,165000.01,167962.76,167837.66,-9037.24
178560.31,167977.55,2020-02-27T02:07:03+00:00,btc_mxn,358.37288,171283.5029,165000.01,168063.8,167977.55,-9022.45
178198.74,168063.8,2020-02-27T02:08:04+00:00,btc_mxn,357.97818,171276.18331,165000.01,168063.8,167977.55,-8936.2
178198.74,167833.41,2020-02-27T02:09:04+00:00,btc_mxn,357.86681,171268.22799,165000.01,167833.41,167745.88,-8769.13
178198.74,167833.41,2020-02-27T02:10:05+00:00,btc_mxn,356.91655,171254.31283,165000.01,167833.41,167746.62,-8478.59
178198.74,167891.95,2020-02-27T02:11:05+00:00,btc_mxn,354.39303,171219.23616,165000.01,167891.95,167804.69,-8167.4
178198.74,167805.38,2020-02-27T02:12:05+00:00,btc_mxn,353.71806,171209.49408,165000.01,167891.95,167805.5,-7821.34
178198.74,167806.28,2020-02-27T02:13:05+00:00,btc_mxn,353.90879,171207.56391,165000.01,167891.95,167806.32,-7820.44
178198.74,168980.93,2020-02-27T02:14:06+00:00,btc_mxn,353.25017,171199.19738,165000.01,168450.16,168354.64,-6519.09
178198.74,168269.2,2020-02-27T02:15:06+00:00,btc_mxn,352.5505,171185.12973,165000.01,168406.92,168269.32,-7230.8
178198.74,168406.92,2020-02-27T02:16:06+00:00,btc_mxn,352.71344,171182.90938,165000.01,168406.92,168315.08,-7093.07
178198.74,168450.16,2020-02-27T02:17:06+00:00,btc_mxn,351.33138,171166.90368,165000.01,168750.37,168637.61,-6700.14
178198.74,168750.37,2020-02-27T02:18:07+00:00,btc_mxn,349.96689,171145.95765,165000.01,168744.63,168637.56,-7685.46
178198.74,169632.18,2020-02-27T02:19:07+00:00,btc_mxn,350.86199,171139.41443,165000.01,169758.38,169632.18,-5369.08
178198.74,169565.81,2020-02-27T02:20:07+00:00,btc_mxn,350.7549,171137.01279,165000.01,169649.6,169605,-5435.31
178198.74,169466.19,2020-02-27T02:21:08+00:00,btc_mxn,350.86162,171135.33615,165000.01,169558.69,169466.19,-5534.93
178198.74,169231.03,2020-02-27T02:22:08+00:00,btc_mxn,351.26616,171120.97496,165000.01,168535,168407.06,-5890.06
178198.74,169250.86,2020-02-27T02:23:08+00:00,btc_mxn,351.9537,171111.62156,165000.01,169250.8,168981.08,-6579.93
178198.74,168200.07,2020-02-27T02:24:08+00:00,btc_mxn,353.11541,171098.60627,165000.01,168329.57,168200.13,-7376.14
178198.74,169164.26,2020-02-27T02:25:08+00:00,btc_mxn,354.01027,171091.3576,165000.01,168721.43,168631.49,-6025.97
178198.74,169373.66,2020-02-27T02:26:09+00:00,btc_mxn,354.10671,171089.17503,165000.01,169490.56,169373.66,-5758.92
178198.74,169365.97,2020-02-27T02:27:09+00:00,btc_mxn,353.50594,171079.72333,165000.01,168821.03,168728.2,-5777.29
178198.74,169490.58,2020-02-27T02:28:10+00:00,btc_mxn,353.07153,171072.73801,165000.01,168771.94,168679.35,-5561.12
178198.74,168771.94,2020-02-27T02:29:10+00:00,btc_mxn,352.80281,171069.66551,165000.01,168771.93,168679.35,-6298.06
178198.74,168771.94,2020-02-27T02:30:10+00:00,btc_mxn,352.74619,171068.55294,165000.01,168771.94,168680,-6469.64
178198.74,168771.94,2020-02-27T02:31:10+00:00,btc_mxn,352.78458,171068.09325,165000.01,168771.94,168680,-6468.06
178198.74,168885.56,2020-02-27T02:32:10+00:00,btc_mxn,353.10636,171052.62183,165000.01,168885.56,168796.48,-6987.81
178198.74,168824.09,2020-02-27T02:33:11+00:00,btc_mxn,353.19029,171051.49386,165000.01,168824.1,168733.57,-7142.89
178198.74,168680.91,2020-02-27T02:34:11+00:00,btc_mxn,353.27077,171050.53791,165000.01,168680.88,168680,-7286.07
178198.74,168376.84,2020-02-27T02:35:11+00:00,btc_mxn,353.15722,171046.68717,165000.01,168330.79,168208.56,-8105.72
178198.74,168376.84,2020-02-27T02:36:11+00:00,btc_mxn,352.21641,171031.2996,165000.01,168330.78,168208.51,-7748.16
178198.74,168330.78,2020-02-27T02:37:12+00:00,btc_mxn,352.13241,171029.95061,165000.01,168300.25,168230.91,-7707.18
178198.74,168230.91,2020-02-27T02:38:12+00:00,btc_mxn,352.00142,171028.23022,165000.01,168300.25,168230.91,-7407.48
178198.74,168300.25,2020-02-27T02:39:12+00:00,btc_mxn,351.97765,171027.91086,165000.01,168300.08,168230.91,-7338.14
178198.74,168300.25,2020-02-27T02:40:12+00:00,btc_mxn,351.9584,171027.48857,165000.01,168300.25,168300.18,-7299.81
178198.74,168300.18,2020-02-27T02:41:13+00:00,btc_mxn,351.72302,171023.47583,165000.01,168300.12,168230.91,-7621.91
178198.74,167630.85,2020-02-27T02:42:13+00:00,btc_mxn,351.91594,171018.22823,165000.01,167630.37,167630.36,-8019.18
178198.74,167743.68,2020-02-27T02:43:13+00:00,btc_mxn,354.32121,170976.69556,165000.01,168440.02,168353.06,-7906.35
178198.74,168001,2020-02-27T02:44:14+00:00,btc_mxn,354.42482,170975.13913,165000.01,168174.36,168085.77,-7921.11
178198.74,168085.71,2020-02-27T02:45:14+00:00,btc_mxn,354.46149,170974.84826,165000.01,168174.36,168085.76,-7698.12
178198.74,168174.36,2020-02-27T02:46:13+00:00,btc_mxn,354.309,170972.02852,165000.01,168174.36,168085.83,-8172.81
178198.74,168743.07,2020-02-27T02:47:14+00:00,btc_mxn,354.33516,170970.63044,165000.01,168743.06,168655.32,-7271.52
178198.74,168655.32,2020-02-27T02:48:14+00:00,btc_mxn,354.28353,170969.60044,165000.01,168743.22,168655.32,-7504.97
178198.74,168501.05,2020-02-27T02:49:15+00:00,btc_mxn,354.66053,170957.01385,165000.01,168622.99,168501,-7721.58
178198.74,168526.51,2020-02-27T02:50:15+00:00,btc_mxn,354.92676,170954.65894,165000.01,168627.36,168526.51,-7696.12
178198.74,168500.99,2020-02-27T02:51:14+00:00,btc_mxn,354.29308,170941.997,165000.01,168627.14,168500.99,-7608.89
178198.74,168189.58,2020-02-27T02:52:15+00:00,btc_mxn,354.98373,170936.59715,165000.01,168312.83,168189.58,-8630.92
178198.74,167632.62,2020-02-27T02:53:15+00:00,btc_mxn,353.9635,170919.57584,165000.01,167743.76,167632.62,-8767.38
178198.74,167630.31,2020-02-27T02:54:15+00:00,btc_mxn,353.87713,170918.0678,165000.01,167743.76,167634.64,-8665.55
178198.74,167634.7,2020-02-27T02:55:15+00:00,btc_mxn,353.86696,170917.84947,165000.01,167743.76,167634.69,-8661.17
178198.74,167634.64,2020-02-27T02:56:16+00:00,btc_mxn,353.86189,170917.75686,165000.01,167743.76,167634.64,-8661.23
178198.74,167743.76,2020-02-27T02:57:16+00:00,btc_mxn,354.19872,170913.25732,165000.01,167743.76,167636.18,-8457.65
178198.74,168375.52,2020-02-27T02:58:16+00:00,btc_mxn,354.02287,170908.60977,165000.01,168375.52,168300.99,-7983.46
178198.74,168301.12,2020-02-27T02:59:17+00:00,btc_mxn,354.1188,170907.60191,165000.01,168380.89,168301,-8108.88
178198.74,168500.99,2020-02-27T03:00:17+00:00,btc_mxn,354.29182,170904.95018,165000.01,168895.03,168809.52,-7909.01
178198.74,168809.52,2020-02-27T03:01:17+00:00,btc_mxn,353.87567,170898.43091,165000.01,168895.02,168809.52,-7453.37
178198.74,168809.52,2020-02-27T03:02:17+00:00,btc_mxn,353.76608,170896.42804,165000.01,168895.04,168809.52,-7463.47
178198.74,168895.04,2020-02-27T03:03:18+00:00,btc_mxn,353.73842,170896.01491,165000.01,168895.01,168809.52,-7241.65
178198.74,168800,2020-02-27T03:04:18+00:00,btc_mxn,353.85776,170894.98452,165000.01,168798.02,168720.12,-7214.92
178198.74,168338.29,2020-02-27T03:05:18+00:00,btc_mxn,357.96682,170869.62313,165000.01,168426.67,168338.29,-7729.52
178198.74,167857.11,2020-02-27T03:06:19+00:00,btc_mxn,362.24601,170845.04846,165000.01,168462.7,168377.63,-8210.7
178198.74,167674.69,2020-02-27T03:07:18+00:00,btc_mxn,365.70892,170824.8907,165000.01,169118.27,169000.99,-8393.11
178198.74,168484.77,2020-02-27T03:08:19+00:00,btc_mxn,368.89653,170780.5182,165000.01,168500,168433.9,-7516.23
178198.74,168644.76,2020-02-27T03:09:19+00:00,btc_mxn,371.00613,170767.74041,165000.01,168573.79,168492.45,-7123.1
178198.74,169000.99,2020-02-27T03:10:19+00:00,btc_mxn,374.93007,170746.85289,165000.01,169120.93,169011.77,-6855.13
178198.74,168106.69,2020-02-27T03:11:20+00:00,btc_mxn,385.4568,170696.61922,165000.01,168594.25,168502.29,-7749.43
178198.74,168677.34,2020-02-27T03:12:20+00:00,btc_mxn,386.66448,170690.69983,165000.01,168802.83,168677.34,-7178.78
178198.74,167636.94,2020-02-27T03:13:20+00:00,btc_mxn,387.76776,170685.09517,165000.01,167751.78,167636.94,-8133.07
178198.74,168500.99,2020-02-27T03:14:21+00:00,btc_mxn,390.81238,170669.88742,165000.01,168511.44,168500.99,-7355.13
178198.74,168989.96,2020-02-27T03:15:21+00:00,btc_mxn,391.14033,170666.28124,165000.01,169076.84,168989.96,-7018.36
178198.74,169000.99,2020-02-27T03:16:21+00:00,btc_mxn,402.78512,170615.54912,165000.01,169076.97,169000.99,-7007.01
178198.74,169000.99,2020-02-27T03:17:21+00:00,btc_mxn,405.0694,170600.64499,165000.01,169122.41,169000.99,-6855.13
178198.74,169119.12,2020-02-27T03:18:21+00:00,btc_mxn,405.55835,170598.13134,165000.01,169119.01,169015.13,-6733.48
178198.74,169015.13,2020-02-27T03:19:22+00:00,btc_mxn,405.49216,170597.10081,165000.01,169119.06,169015.13,-6740.98
178198.74,169119.06,2020-02-27T03:20:22+00:00,btc_mxn,406.01753,170595.17435,165000.01,169118.39,169015.13,-6530.96
178198.74,169100,2020-02-27T03:21:22+00:00,btc_mxn,404.25013,170572.07104,165000.01,169057.04,169000.99,-6400.02
178198.74,169000.99,2020-02-27T03:22:22+00:00,btc_mxn,413.97973,170524.40728,165000.01,169072.93,169000.99,-6299.06
178198.74,168458.88,2020-02-27T03:23:22+00:00,btc_mxn,416.7025,170513.95492,165000.01,168125.46,168001.12,-6841.15
178198.74,169019.53,2020-02-27T03:24:23+00:00,btc_mxn,415.09796,170491.22576,165000.01,169051.97,169000.99,-6225.43
178198.74,169051.96,2020-02-27T03:25:23+00:00,btc_mxn,415.54808,170482.97295,165000.01,169051.96,169000.99,-6454.45
178198.74,169051.97,2020-02-27T03:26:23+00:00,btc_mxn,416.21475,170478.03586,165000.01,169051.97,169000.99,-6049.14
178198.74,169051.97,2020-02-27T03:27:24+00:00,btc_mxn,416.14035,170476.71918,165000.01,169122.6,169020.59,-6049.14
178198.74,169122.6,2020-02-27T03:28:24+00:00,btc_mxn,416.09184,170474.56481,165000.01,169122.6,169018.44,-5981.06
178198.74,169122.6,2020-02-27T03:29:24+00:00,btc_mxn,416.11744,170474.43854,165000.01,169122.6,169018.44,-5981.06
178198.74,169018.44,2020-02-27T03:30:24+00:00,btc_mxn,415.43831,170464.36585,165000.01,169224.96,169132.83,-6081.56
178198.74,169132.83,2020-02-27T03:31:24+00:00,btc_mxn,415.45755,170463.80561,165000.01,169224.91,169132.84,-5922.17
178198.74,169116.19,2020-02-27T03:32:25+00:00,btc_mxn,415.80114,170462.01097,165000.01,169116.19,169035.08,-5893.81
178198.74,169116.19,2020-02-27T03:33:24+00:00,btc_mxn,415.75163,170461.1172,165000.01,169116.19,169035.08,-5951.37
178198.74,169116.19,2020-02-27T03:34:25+00:00,btc_mxn,415.72477,170460.48397,165000.01,169116.19,169035.08,-5894.02
178198.74,169116.19,2020-02-27T03:35:25+00:00,btc_mxn,415.7292,170460.46534,165000.01,169116.19,169035.08,-5986.38
178198.74,169153.03,2020-02-27T03:36:25+00:00,btc_mxn,415.7626,170460.19601,165000.01,169599.96,169035.08,-5867.2
178198.74,169365.18,2020-02-27T03:37:26+00:00,btc_mxn,415.85868,170459.42691,165000.01,169345,169274.17,-5737.39
178198.74,169274.16,2020-02-27T03:38:26+00:00,btc_mxn,415.83077,170459.07178,165000.01,169345,169274.16,-5828.41
178198.74,169365.18,2020-02-27T03:39:27+00:00,btc_mxn,415.85712,170458.50842,165000.01,169365.18,169275,-5737.39
178198.74,169535.86,2020-02-27T03:40:27+00:00,btc_mxn,415.8275,170458.09861,165000.01,169535.86,169443.77,-5566.71
178198.74,170497.91,2020-02-27T03:41:27+00:00,btc_mxn,415.88946,170457.90027,165000.01,170497.6,170386.37,-4604.64
178198.74,170495.15,2020-02-27T03:42:27+00:00,btc_mxn,415.95902,170457.90357,165000.01,170494.61,170385.81,-4607.42
178198.74,169892.06,2020-02-27T03:43:27+00:00,btc_mxn,416.0679,170457.82086,165000.01,169981.73,169892.06,-5210.51
178198.74,169892.06,2020-02-27T03:44:28+00:00,btc_mxn,416.08355,170457.57808,165000.01,169981.73,169892.07,-5210.51
178198.74,169892.06,2020-02-27T03:45:28+00:00,btc_mxn,416.04117,170457.11283,165000.01,169981.73,169892.07,-5210.51
178198.74,169892.06,2020-02-27T03:46:28+00:00,btc_mxn,415.90615,170455.62409,165000.01,169981.67,169893,-5210.51
178198.74,169981.67,2020-02-27T03:47:28+00:00,btc_mxn,415.78914,170453.91189,165000.01,169981.67,169893,-5120.9
178198.74,170493.03,2020-02-27T03:48:28+00:00,btc_mxn,414.98296,170444.38839,165000.01,170067.69,169991.4,-4507.98
178198.74,169991.4,2020-02-27T03:49:28+00:00,btc_mxn,414.50137,170439.06356,165000.01,170067.69,169991.4,-5008.61
178198.74,169991.4,2020-02-27T03:50:28+00:00,btc_mxn,410.65522,170399.30362,165000.01,170067.69,169991.4,-4656.03
178198.74,169417.02,2020-02-27T03:51:29+00:00,btc_mxn,410.7215,170398.48174,165000.01,169508.4,169417.18,-4705.17
178198.74,169531.61,2020-02-27T03:52:28+00:00,btc_mxn,410.76039,170397.78262,165000.01,169531.61,169457.97,-4481.32
178198.74,169531.61,2020-02-27T03:53:29+00:00,btc_mxn,410.75931,170397.77307,165000.01,169531.61,169458.31,-4590.58
178198.74,169531.61,2020-02-27T03:54:29+00:00,btc_mxn,410.7564,170397.73772,165000.01,169545.86,169458.61,-4483.05
178198.74,169545.86,2020-02-27T03:55:30+00:00,btc_mxn,410.65572,170396.51374,165000.01,169545.86,169458.89,-4503.04
178198.74,170479.43,2020-02-27T03:56:30+00:00,btc_mxn,410.69177,170396.49995,165000.01,170604.41,170479.43,-3571.55
178198.74,170602.95,2020-02-27T03:57:30+00:00,btc_mxn,410.71319,170396.12042,165000.01,170602.58,170479.43,-3448.77
178198.74,170479.43,2020-02-27T03:58:30+00:00,btc_mxn,410.58951,170394.99407,165000.01,170604.74,170479.43,-3685.53
178198.74,170479.43,2020-02-27T03:59:30+00:00,btc_mxn,410.16384,170390.34083,165000.01,170604.74,170479.43,-4520.57
178198.74,170479.43,2020-02-27T04:00:31+00:00,btc_mxn,410.14389,170390.11709,165000.01,170604.74,170479.43,-4505.69
178198.74,170624.25,2020-02-27T04:01:31+00:00,btc_mxn,408.17902,170371.29645,165000.01,170624.25,170574.72,-4172.4
178198.74,170624.25,2020-02-27T04:02:32+00:00,btc_mxn,408.17804,170371.13903,165000.01,170624.25,170574.72,-4079.69
178198.74,170800.35,2020-02-27T04:03:32+00:00,btc_mxn,408.73914,170370.3119,165000.01,170925.5,170800.35,-4289.2
178198.74,169459.08,2020-02-27T04:04:32+00:00,btc_mxn,408.65552,170367.38958,165000.01,169579.65,169459.48,-5481.58
178198.74,169459.08,2020-02-27T04:05:33+00:00,btc_mxn,408.65048,170367.33316,165000.01,169579.65,169459.89,-5569.07
178198.74,169579.65,2020-02-27T04:06:32+00:00,btc_mxn,408.6287,170367.07951,165000.01,169579.65,169465.16,-5448.5
178198.74,169579.65,2020-02-27T04:07:33+00:00,btc_mxn,408.56567,170366.36109,165000.01,169579.65,169465.44,-5448.5
178198.74,169579.65,2020-02-27T04:08:33+00:00,btc_mxn,408.52339,170365.86954,165000.01,169579.65,169465.4,-5448.5
178198.74,169579.65,2020-02-27T04:09:33+00:00,btc_mxn,408.48214,170365.40915,165000.01,169579.65,169465.31,-5270.8
178198.74,169579.65,2020-02-27T04:10:33+00:00,btc_mxn,408.37569,170364.23192,165000.01,169579.65,169465.3,-5330.04
